id,name,public|private,idsRapport,sectors,province
342,IATSE - International Alliance of Theatrical Stage Employees,private,['418474'],['Climate'],ON
343,Mechanical Contractors Association of Canada,private,['451204'],"['Government Procurement', 'Economic Development', 'Climate', 'Environment']",ON
344,Naikun Wind Energy Group Inc.,private,"['420774', '428094', '428096', '428105']","['Aboriginal Affairs', 'Climate', 'Energy', 'Environment', 'Government Procurement', 'Industry', 'Infrastructure']",BC
345,Alberta Barley,private,"['462903', '466524', '466546', '466560', '466574', '466579', '466582', '468520']","['Agriculture', 'International Trade', 'Climate', 'Taxation and Finance']",AB
346,Michelin North America (Canada) Inc.,private,['422707'],"['Climate', 'Environment', 'Transportation']",SC
347,"Proterra, Inc.",private,"['425166', '425167', '425169']","['Climate', 'Economic Development', 'Environment', 'Municipalities', 'Science and Technology', 'Transportation']",CA
348,Fractal Systems Inc.,private,"['433934', '433937']","['Energy', 'Climate']",AB
349,Canadian Council for the Advancement of Native Development Officers (CANDO),private,['425098'],"['Economic Development', 'Employment and Training', 'Mining', 'Municipalities', 'Regional Development', 'Energy', 'Aboriginal Affairs', 'Climate', 'Environment', 'Small Business', 'Infrastructure']",AB
350,Quebec Center for Environmental Law,private,"['432464', '433972', '450269', '458939']","['Climat', 'Environnement', 'Justice et application des lois']",QC
351,AddEnergie,private,"['425979', '428266', '428444', '428445', '434286', '434287', '440579', '440580', '440581', '440582', '440583', '446420', '446421', '458510', '465191']","['Énergie', 'Climate']",QC
352,Plastics Sustainability Coalition,private,"['431280', '431282', '431284', '431286', '431288']","['Climate', 'Economic Development', 'Employment and Training', 'Industry', 'International Relations', 'Science and Technology']",ON
353,University of Manitoba,private,['467940'],['Climate'],MB
354,Lockheed Martin Canada,private,"['437070', '457858', '437071']","['Aboriginal Affairs', 'Climate', 'Energy', 'Government Procurement', 'Science and Technology']",ON
355,Pembina Institute,private,"['433623', '442764', '443796', '443797', '433621']","['Environment', 'Climate']",ON
